busqueda,id grabacion,Cual es el id,Grabacion,CallerID
1739020809.32168,,,Tiene grabacion,""")"
1739020973.32334,,,Tiene grabacion,""")"
1739021016.32385,,,Tiene grabacion,""")"
1739021686.32857,,,Tiene grabacion,""")"
1739021971.32962,,,Tiene grabacion,""")"
1739022261.33099,,,No tiene grabacion,No tiene callerid
1739022282.33119,,,Tiene grabacion,No tiene callerid
1739022285.33121,,,Tiene grabacion,No tiene callerid
1739022299.33126,,,Tiene grabacion,No tiene callerid
1739022392.33153,,,Tiene grabacion,No tiene callerid
1739022393.33156,,,No tiene grabacion,No tiene callerid
1739022404.33159,,,Tiene grabacion,No tiene callerid
1739022411.33161,,,Tiene grabacion,No tiene callerid
1739022412.33163,,,Tiene grabacion,No tiene callerid
1739022443.33194,,,Tiene grabacion,No tiene callerid
1739022444.33196,,,Tiene grabacion,No tiene callerid
1739022454.33198,,,Tiene grabacion,No tiene callerid
1739022455.33199,,,Tiene grabacion,No tiene callerid
1739022457.33202,,,Tiene grabacion,No tiene callerid
1739022459.33204,,,Tiene grabacion,No tiene callerid
1739022517.33213,,,Tiene grabacion,No tiene callerid
1739022534.33221,,,Tiene grabacion,No tiene callerid
1739022580.33227,,,Tiene grabacion,No tiene callerid
1739022640.33245,,,Tiene grabacion,No tiene callerid
1739022653.33248,,,Tiene grabacion,No tiene callerid
1739022666.3326,,,Tiene grabacion,No tiene callerid
1739022666.33261,,,Tiene grabacion,No tiene callerid
1739022667.33263,,,Tiene grabacion,No tiene callerid
1739022670.33269,,,Tiene grabacion,No tiene callerid
1739022691.33278,,,Tiene grabacion,No tiene callerid
1739022707.33287,,,Tiene grabacion,No tiene callerid
1739022728.33294,,,Tiene grabacion,No tiene callerid
1739022730.33302,,,Tiene grabacion,No tiene callerid
1739022743.33314,,,Tiene grabacion,No tiene callerid
1739022749.33317,,,Tiene grabacion,No tiene callerid
1739022764.33326,,,Tiene grabacion,No tiene callerid
1739022766.33332,,,Tiene grabacion,No tiene callerid
1739022767.33342,,,Tiene grabacion,No tiene callerid
1739022770.33345,,,Tiene grabacion,No tiene callerid
1739022859.33388,,,Tiene grabacion,No tiene callerid
1739022864.33391,,,Tiene grabacion,No tiene callerid
1739022880.334,,,Tiene grabacion,No tiene callerid
1739022904.33405,,,Tiene grabacion,No tiene callerid
1739022912.3341,,,Tiene grabacion,No tiene callerid
1739022922.33414,,,Tiene grabacion,No tiene callerid
1739022938.33417,,,Tiene grabacion,No tiene callerid
1739022952.33419,,,Tiene grabacion,No tiene callerid
1739022963.33426,,,Tiene grabacion,No tiene callerid
1739022965.3343,,,Tiene grabacion,No tiene callerid
1739022975.33438,,,Tiene grabacion,No tiene callerid
1739023000.33445,,,Tiene grabacion,No tiene callerid
1739023029.33455,,,Tiene grabacion,No tiene callerid
1739023036.33458,,,Tiene grabacion,No tiene callerid
1739023055.33463,,,No tiene grabacion,No tiene callerid
1739023081.33475,,,Tiene grabacion,No tiene callerid
1739023082.33476,,,Tiene grabacion,No tiene callerid
1739023101.33488,,,Tiene grabacion,No tiene callerid
1739023113.3349,,,Tiene grabacion,No tiene callerid
1739023115.33494,,,Tiene grabacion,No tiene callerid
